songid,user,videoname,url
hiphop34,0.4911532418026006,Lil Tjay - Calling My Phone (feat. 6LACK) [Official Video],https://www.youtube.com/watch?v=zzd4ydafGR0
pop3,0.44001469546901156,Astrid S - It´s Ok If You Forget Me (Lyrics),https://www.youtube.com/watch?v=hI4HND3ZG58
jazz33,0.43891580519544715,"~ ELLA FITZGERALD AND LOUIS ARMSTRONG ~ ""They Can`t Take That Away From Me""",https://www.youtube.com/watch?v=UA2XIWZxMKM
country42,0.43554357095878454,Taylor Swift - willow (Official Music Video),https://www.youtube.com/watch?v=RsEZmictANA
reggae41,0.40511831499567064,Cultura Profética - Ilegal,https://www.youtube.com/watch?v=w_hdJU-tK8o
jazz6,0.4039096771979769,Karen Souza - There You Are (Second Chance),https://www.youtube.com/watch?v=--gjxp6o6FI
hiphop39,0.4021841621888224,Polo G - 21 (Directed by Cole Bennett),https://www.youtube.com/watch?v=OQ6R4TU5Vwo
reggae28,0.40151579169139623,Dread Mar I - Tu Sin Mi [ Video Oficial HD Version ],https://www.youtube.com/watch?v=a5fHoAx12DY
reggae49,0.3969791648473376,Mighty Maytones - Madness (1976),https://www.youtube.com/watch?v=9ECIJilEUmg
hiphop28,0.39346178455186176,Lil Tjay - In My Head (Official Video),https://www.youtube.com/watch?v=sLq_DOW5HcM
