songid,user,videoname,url
pop23,0.507353595718866,Clara Mae - Crash | 8D Audio 🎧 | SeaneecusMusic,https://www.youtube.com/watch?v=JkNxohNdhAw
pop34,0.47721723528698556,Halsey - so good,https://www.youtube.com/watch?v=N6tv11_KMiM
pop43,0.43317074316018106,Walk Off The Earth - I'll Be There (Lyrics),https://www.youtube.com/watch?v=aWz2aVqQ_ko
reggae7,0.42836193202992345,GONDWANA - PIÉNSAME (Video Oficial),https://www.youtube.com/watch?v=sK0WveReY4U
pop31,0.41270800458300483,SHY Martin - Feelings (Lyrics),https://www.youtube.com/watch?v=lc8dwn8UHQQ
pop13,0.37320726444243996,Clara Mae - Not Sad Anymore (Lyrics),https://www.youtube.com/watch?v=AO0lR3DG66M
reggae49,0.36870515746713195,Mighty Maytones - Madness (1976),https://www.youtube.com/watch?v=9ECIJilEUmg
pop3,0.36238382544949244,Astrid S - It´s Ok If You Forget Me (Lyrics),https://www.youtube.com/watch?v=hI4HND3ZG58
pop7,0.350458186068388,"Ariana Grande, Kid Cudi - Just Look Up (Lyrics)",https://www.youtube.com/watch?v=KxJNTVYJVdQ
country47,0.3402580366872612,Kelsea Ballerini - the other girl (with Halsey) [Official Lyric Video],https://www.youtube.com/watch?v=RRht2Sfv28U
